Source,SourceID,Target,TargetID,Year,Type,Label,Weight
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1888","Directed","Paul Goldmann an Arthur Schnitzler","1"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1889","Directed","Paul Goldmann an Arthur Schnitzler","8"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1890","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","1"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1890","Directed","Paul Goldmann an Arthur Schnitzler","6"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1891","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","8"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1891","Directed","Arthur Schnitzler an Hugo von Hofmannsthal","14.634146341463415"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1891","Directed","Arthur Schnitzler an Richard Beer-Hofmann","13"
"Richard Beer-Hofmann","10863","Arthur Schnitzler","Arthur Schnitzler","1891","Directed","Richard Beer-Hofmann an Arthur Schnitzler","5"
"Hermann Bahr","10815","Arthur Schnitzler","Arthur Schnitzler","1891","Directed","Hermann Bahr an Arthur Schnitzler","1"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1891","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","1"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1891","Directed","Hugo von Hofmannsthal an Hermann Bahr","14.473684210526315"
"Hermann Bahr","10815","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1891","Directed","Hermann Bahr an Hugo von Hofmannsthal","34.146341463414636"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1891","Directed","Hermann Bahr an Richard Beer-Hofmann","2"
"Felix Salten","2167","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1891","Directed","Felix Salten an Hugo von Hofmannsthal","9.75609756097561"
"Hugo von Hofmannsthal","11740","Felix Salten","Felix Salten","1891","Directed","Hugo von Hofmannsthal an Felix Salten","2.941176470588235"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1891","Directed","Paul Goldmann an Arthur Schnitzler","20"
"Arthur Schnitzler","2121","Felix Salten","Felix Salten","1891","Directed","Arthur Schnitzler an Felix Salten","8.823529411764705"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1891","Directed","Felix Salten an Arthur Schnitzler","7"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1891","Directed","Paul Goldmann an Richard Beer-Hofmann","2 75"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1892","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","24"
"Richard Beer-Hofmann","10863","Arthur Schnitzler","Arthur Schnitzler","1892","Directed","Richard Beer-Hofmann an Arthur Schnitzler","10"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1892","Directed","Arthur Schnitzler an Richard Beer-Hofmann","23"
"Hermann Bahr","10815","Arthur Schnitzler","Arthur Schnitzler","1892","Directed","Hermann Bahr an Arthur Schnitzler","7"
"Arthur Schnitzler","2121","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1892","Directed","Arthur Schnitzler an Hugo von Hofmannsthal","36.58536585365854"
"Arthur Schnitzler","2121","Hermann Bahr","Hermann Bahr","1892","Directed","Arthur Schnitzler an Hermann Bahr","1.3157894736842106"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1892","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","10"
"Richard Beer-Hofmann","10863","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1892","Directed","Richard Beer-Hofmann an Hugo von Hofmannsthal","4.878048780487805"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1892","Directed","Hugo von Hofmannsthal an Hermann Bahr","15.789473684210526"
"Hermann Bahr","10815","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1892","Directed","Hermann Bahr an Hugo von Hofmannsthal","9.75609756097561"
"Hugo von Hofmannsthal","11740","Felix Salten","Felix Salten","1892","Directed","Hugo von Hofmannsthal an Felix Salten","23.52941176470588"
"Felix Salten","2167","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1892","Directed","Felix Salten an Hugo von Hofmannsthal","7.317073170731708"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1892","Directed","Paul Goldmann an Arthur Schnitzler","9"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1892","Directed","Felix Salten an Arthur Schnitzler","16"
