Source,SourceID,Target,TargetID,Year,Type,Label,Weight
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1888","Directed","Paul Goldmann an Arthur Schnitzler","2"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1889","Directed","Paul Goldmann an Arthur Schnitzler","16"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1890","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","2"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1890","Directed","Paul Goldmann an Arthur Schnitzler","12"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1891","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","16"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1891","Directed","Arthur Schnitzler an Richard Beer-Hofmann","26"
"Hermann Bahr","10815","Arthur Schnitzler","Arthur Schnitzler","1891","Directed","Hermann Bahr an Arthur Schnitzler","2"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1891","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","2"
"Hermann Bahr","10815","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1891","Directed","Hermann Bahr an Hugo von Hofmannsthal","28"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1891","Directed","Hermann Bahr an Richard Beer-Hofmann","4"
"Felix Salten","2167","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1891","Directed","Felix Salten an Hugo von Hofmannsthal","8"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1891","Directed","Paul Goldmann an Arthur Schnitzler","40"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1891","Directed","Felix Salten an Arthur Schnitzler","14"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1891","Directed","Paul Goldmann an Richard Beer-Hofmann","4"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1892","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","48"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1892","Directed","Arthur Schnitzler an Richard Beer-Hofmann","46"
"Hermann Bahr","10815","Arthur Schnitzler","Arthur Schnitzler","1892","Directed","Hermann Bahr an Arthur Schnitzler","14"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1892","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","20"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1892","Directed","Hugo von Hofmannsthal an Hermann Bahr","24"
"Hugo von Hofmannsthal","11740","Felix Salten","Felix Salten","1892","Directed","Hugo von Hofmannsthal an Felix Salten","16"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1892","Directed","Paul Goldmann an Arthur Schnitzler","18"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1892","Directed","Felix Salten an Arthur Schnitzler","32"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1892","Directed","Paul Goldmann an Richard Beer-Hofmann","6"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1893","Directed","Arthur Schnitzler an Richard Beer-Hofmann","72"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1893","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","48"
"Hermann Bahr","10815","Arthur Schnitzler","Arthur Schnitzler","1893","Directed","Hermann Bahr an Arthur Schnitzler","18"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1893","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","40"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1893","Directed","Hugo von Hofmannsthal an Hermann Bahr","20"
"Richard Beer-Hofmann","10863","Felix Salten","Felix Salten","1893","Directed","Richard Beer-Hofmann an Felix Salten","4"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1893","Directed","Paul Goldmann an Arthur Schnitzler","46"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1893","Directed","Felix Salten an Arthur Schnitzler","22"
"Paul Goldmann","11485","Richard Beer-Hofmann","Richard Beer-Hofmann","1893","Directed","Paul Goldmann an Richard Beer-Hofmann","2"
"Hermann Bahr","10815","Arthur Schnitzler","Arthur Schnitzler","1894","Directed","Hermann Bahr an Arthur Schnitzler","18"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1894","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","18"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1894","Directed","Arthur Schnitzler an Richard Beer-Hofmann","66"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1894","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","34"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1894","Directed","Hugo von Hofmannsthal an Hermann Bahr","16"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1894","Directed","Hermann Bahr an Richard Beer-Hofmann","18"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1894","Directed","Paul Goldmann an Arthur Schnitzler","54"
"Felix Salten","2167","Arthur Schnitzler","Arthur Schnitzler","1894","Directed","Felix Salten an Arthur Schnitzler","32"
"Hermann Bahr","10815","Arthur Schnitzler","Arthur Schnitzler","1895","Directed","Hermann Bahr an Arthur Schnitzler","16"
"Arthur Schnitzler","2121","Richard Beer-Hofmann","Richard Beer-Hofmann","1895","Directed","Arthur Schnitzler an Richard Beer-Hofmann","66"
"Hugo von Hofmannsthal","11740","Arthur Schnitzler","Arthur Schnitzler","1895","Directed","Hugo von Hofmannsthal an Arthur Schnitzler","16"
"Hugo von Hofmannsthal","11740","Richard Beer-Hofmann","Richard Beer-Hofmann","1895","Directed","Hugo von Hofmannsthal an Richard Beer-Hofmann","26"
"Hugo von Hofmannsthal","11740","Hermann Bahr","Hermann Bahr","1895","Directed","Hugo von Hofmannsthal an Hermann Bahr","16"
"Hermann Bahr","10815","Richard Beer-Hofmann","Richard Beer-Hofmann","1895","Directed","Hermann Bahr an Richard Beer-Hofmann","2"
"Felix Salten","2167","Hugo von Hofmannsthal","Hugo von Hofmannsthal","1895","Directed","Felix Salten an Hugo von Hofmannsthal","4"
"Hermann Bahr","10815","Felix Salten","Felix Salten","1895","Directed","Hermann Bahr an Felix Salten","6"
"Paul Goldmann","11485","Arthur Schnitzler","Arthur Schnitzler","1895","Directed","Paul Goldmann an Arthur Schnitzler","76"
